City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
203,cannonvale,-20.2833,148.7,26.66,76,58,1.48,AU,1712658633
204,orda,57.1951,56.9091,4.18,94,100,4.06,RU,1712658633
205,arenas de san pedro,40.2104,-5.0869,12.66,35,1,2.26,ES,1712658633
206,pathein,16.7833,94.7333,33.46,44,0,6.99,MM,1712658633
207,urengoy,65.9667,78.3667,-13.89,88,90,6.88,RU,1712658633
208,conde,-7.2597,-34.9075,26.7,89,40,2.06,BR,1712658634
209,lodja,-3.4833,23.4333,33.76,43,98,1.2,CD,1712658634
210,hotan,37.0997,79.9269,24.97,6,15,6.31,CN,1712658634
211,cooper's town,26.8667,-77.5167,21.14,65,89,7.35,BS,1712658634
212,san jose del cabo,23.0589,-109.6977,17.5,83,82,0.89,MX,1712658634
213,port alfred,-33.5906,26.891,19.54,85,100,4.89,ZA,1712658634
214,lethem,3.3803,-59.7968,25.82,69,90,7.03,GY,1712658634
215,dunedin,-45.8742,170.5036,15.27,71,100,2.3,NZ,1712658634
216,balboa,2.0396,-77.2168,16.03,96,98,0.64,CO,1712658635
217,holualoa,19.6228,-155.9522,21.91,84,20,4.12,US,1712658635
218,zakamensk,50.3741,103.2863,8.84,69,81,1.4,RU,1712658635
219,hadibu,12.65,54.0333,29.29,64,86,3.3,YE,1712658635
220,sosua,19.7667,-70.5167,21.99,82,100,4.97,DO,1712658635
221,canutama,-6.5339,-64.3831,23.65,97,100,0.59,BR,1712658635
222,gizo,-8.103,156.8419,28.26,76,97,1.88,SB,1712658635
223,lourdes,43.1,-0.05,8.71,76,75,7.2,FR,1712658635
224,newman,37.3138,-121.0208,10.16,82,0,0.89,US,1712658455
225,magumeri,12.1131,12.8274,40.38,6,81,6.91,NG,1712658635
226,east london,-33.0153,27.9116,23.52,60,0,8.75,ZA,1712658607
227,impfondo,1.6381,18.0667,37.38,33,58,1.36,CG,1712658635
228,stanthorpe,-28.6667,151.95,14.68,69,0,5.71,AU,1712658635
229,princeville,45.7668,-61.2985,1.29,88,14,1.79,CA,1712658636
230,xilin hot,43.9667,116.0333,9.84,59,71,5.08,CN,1712658636
231,omdurman,15.6445,32.4777,34.65,5,98,4.19,SD,1712658636
232,onguday,50.75,86.15,7.39,90,100,1.07,RU,1712658636
233,talcahuano,-36.7167,-73.1167,12.82,82,0,1.54,CL,1712658636
234,aras-asan,8.8908,126.3033,26.32,85,61,3.19,PH,1712658637
235,harper,4.375,-7.7169,30.57,68,92,3.49,LR,1712658637
236,bela,25.9333,81.9833,38.93,7,100,4.43,IN,1712658637
237,zemetchino,53.4973,42.6163,20.27,56,86,4.06,RU,1712658637
238,kidal,18.4411,1.4078,37.81,5,0,3.02,ML,1712658376
239,tartouss,34.889,35.8866,20.45,58,98,4.42,SY,1712658637
240,boma,7.0805,-2.1697,31.93,50,100,2.54,GH,1712658638
241,natal,-5.795,-35.2094,27.12,89,40,2.57,BR,1712658184
242,bosaso,11.2842,49.1816,30.99,70,0,9.26,SO,1712658638
243,kenai,60.5544,-151.2583,0.08,72,40,2.57,US,1712658638
244,codrington,-38.2667,141.9667,12.35,71,86,4.46,AU,1712658638
245,al kharijah,25.4514,30.5464,28.73,18,0,3.78,EG,1712658638
246,azna,33.6095,48.9307,22.47,28,68,5.43,IR,1712658638
247,kismayo,-0.3582,42.5454,30.2,67,88,5.2,SO,1712658638
248,khorixas,-20.3667,14.9667,26.34,12,30,2.09,NA,1712658638
